participant_id,condition,question_id,decision,ai_correct,timestamp,latency_ms
9404699a-54b0-4392-bc1f-bfb3d36e5c5c,A,20,accept,true,2026-03-22T19:20:56.879Z,2583
39d459a0-d16d-47af-9872-3184b1b79311,B,1,reject,true,2026-03-22T19:21:06.615Z,3717
8e76a063-8220-423f-94dc-0b46cb9e530d,A,1,accept,true,2026-03-22T19:34:40.141Z,3607
8e76a063-8220-423f-94dc-0b46cb9e530d,A,2,reject,true,2026-03-22T19:34:41.946Z,1856
dd2082e2-62ce-4809-8bdd-600efa065024,B,1,accept,true,2026-03-22T19:42:14.763Z,11535
dd2082e2-62ce-4809-8bdd-600efa065024,B,2,reject,true,2026-03-22T19:42:16.428Z,2288
dd2082e2-62ce-4809-8bdd-600efa065024,B,3,accept,true,2026-03-22T19:43:57.885Z,101433
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,1,accept,true,2026-03-22T19:44:38.274Z,2115
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,2,accept,true,2026-03-22T19:47:07.010Z,148443
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,3,accept,true,2026-03-22T19:47:09.019Z,2291
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,4,reject,false,2026-03-22T19:47:11.349Z,2337
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,5,accept,false,2026-03-22T19:47:13.149Z,1801
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,6,reject,true,2026-03-22T19:47:27.857Z,14693
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,7,accept,true,2026-03-22T19:47:29.950Z,2102
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,8,reject,false,2026-03-22T19:49:39.142Z,129023
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,9,accept,true,2026-03-22T19:49:43.366Z,4382
21522cca-f3a7-4f2d-b528-8f35798e74e7,A,10,accept,true,2026-03-22T19:50:22.354Z,38970
06576117-d24a-402f-af97-0fb43b644a8c,B,1,accept,true,2026-03-22T19:55:58.455Z,328929
1d32af4b-3352-4128-8059-39be92ce640c,A,1,accept,true,2026-03-22T20:03:13.263Z,17724
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,1,accept,true,2026-03-22T20:23:47.260Z,10635
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,2,accept,true,2026-03-22T20:23:47.799Z,596
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,3,accept,true,2026-03-22T20:24:16.683Z,28881
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,4,accept,false,2026-03-22T20:24:22.612Z,5926
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,5,accept,false,2026-03-22T20:24:23.236Z,630
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,6,accept,true,2026-03-22T20:24:32.512Z,9272
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,7,accept,true,2026-03-22T20:24:33.156Z,648
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,8,accept,false,2026-03-22T20:24:34.890Z,1732
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,9,accept,true,2026-03-22T20:24:35.782Z,892
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,10,accept,true,2026-03-22T20:24:35.971Z,189
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,11,accept,false,2026-03-22T20:24:36.137Z,167
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,12,accept,true,2026-03-22T20:24:36.326Z,186
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,13,accept,false,2026-03-22T20:24:36.489Z,164
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,14,reject,false,2026-03-22T20:24:42.904Z,6398
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,15,reject,true,2026-03-22T20:24:43.055Z,163
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,16,reject,true,2026-03-22T20:24:43.209Z,152
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,17,reject,true,2026-03-22T20:24:43.374Z,167
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,18,reject,false,2026-03-22T20:24:43.473Z,99
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,19,reject,true,2026-03-22T20:24:43.638Z,164
2a7c99da-9bd4-4aaa-abc7-1aa8d6abb277,B,20,reject,true,2026-03-22T20:24:43.811Z,172
211bb602-a794-4eea-aba6-4058285f5dba,A,1,accept,true,2026-03-23T04:16:53.827Z,13736
211bb602-a794-4eea-aba6-4058285f5dba,A,2,reject,true,2026-03-23T04:16:55.281Z,1624
211bb602-a794-4eea-aba6-4058285f5dba,A,3,reject,true,2026-03-23T04:16:57.172Z,1884
211bb602-a794-4eea-aba6-4058285f5dba,A,4,accept,false,2026-03-23T04:16:58.134Z,964
211bb602-a794-4eea-aba6-4058285f5dba,A,5,accept,false,2026-03-23T04:16:58.529Z,400
211bb602-a794-4eea-aba6-4058285f5dba,A,6,accept,true,2026-03-23T04:16:58.695Z,165
211bb602-a794-4eea-aba6-4058285f5dba,A,7,accept,true,2026-03-23T04:16:58.857Z,166
211bb602-a794-4eea-aba6-4058285f5dba,A,8,accept,false,2026-03-23T04:16:59.264Z,407
211bb602-a794-4eea-aba6-4058285f5dba,A,9,accept,true,2026-03-23T04:16:59.388Z,126
211bb602-a794-4eea-aba6-4058285f5dba,A,10,accept,true,2026-03-23T04:16:59.660Z,266
211bb602-a794-4eea-aba6-4058285f5dba,A,11,accept,false,2026-03-23T04:16:59.821Z,166
211bb602-a794-4eea-aba6-4058285f5dba,A,12,accept,true,2026-03-23T04:16:59.988Z,166
211bb602-a794-4eea-aba6-4058285f5dba,A,13,accept,false,2026-03-23T04:17:00.137Z,149
211bb602-a794-4eea-aba6-4058285f5dba,A,14,accept,false,2026-03-23T04:17:00.289Z,150
211bb602-a794-4eea-aba6-4058285f5dba,A,15,accept,true,2026-03-23T04:17:00.454Z,165
211bb602-a794-4eea-aba6-4058285f5dba,A,16,accept,true,2026-03-23T04:17:00.629Z,167
211bb602-a794-4eea-aba6-4058285f5dba,A,17,accept,true,2026-03-23T04:17:00.771Z,149
211bb602-a794-4eea-aba6-4058285f5dba,A,18,accept,false,2026-03-23T04:17:00.937Z,165
211bb602-a794-4eea-aba6-4058285f5dba,A,19,accept,true,2026-03-23T04:17:01.089Z,150
211bb602-a794-4eea-aba6-4058285f5dba,A,20,accept,true,2026-03-23T04:17:01.255Z,166
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,1,accept,true,2026-03-23T04:21:37.610Z,199364
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,2,accept,true,2026-03-23T04:21:37.771Z,212
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,3,accept,true,2026-03-23T04:21:37.925Z,149
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,4,accept,false,2026-03-23T04:21:38.087Z,166
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,5,accept,false,2026-03-23T04:21:38.241Z,150
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,6,accept,true,2026-03-23T04:21:38.403Z,167
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,7,accept,true,2026-03-23T04:21:38.689Z,284
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,8,accept,false,2026-03-23T04:21:38.851Z,165
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,9,accept,true,2026-03-23T04:21:39.022Z,167
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,10,accept,true,2026-03-23T04:21:39.187Z,166
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,11,accept,false,2026-03-23T04:21:39.352Z,166
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,12,accept,true,2026-03-23T04:21:39.519Z,166
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,13,accept,false,2026-03-23T04:21:39.688Z,166
